Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
b1,K-Means,105.059651,97815772607074.84,0.9532292044999633,4.518659950598213,0.9819655869078774,0.9537180047035902
b1,Bisecting K-Means (largest split),14.699098,102462901180361.11,0.9032395188586075,4.42040806994398,0.961143388534015,0.9042660076526948
b1,Bisecting K-Means (worst split),17.890641,97573260070501.58,0.9504291015645218,4.508954514225775,0.9798290085675071,0.9509437258089307
b2,K-Means,25.408629,1266406490028.8599,0.8387722764536637,4.388388586839348,0.9618019124970374,0.8432389356657712
b2,Bisecting K-Means (largest split),8.609979,456724805138.7435,1.0,4.605169685947409,1.0000000000000002,1.0
b2,Bisecting K-Means (worst split),9.244283,456724805138.7435,1.0,4.605169685947407,1.0,1.0
b3,K-Means,107.411974,43175807140081.03,0.7910897726367511,4.089030431779467,0.917504144617895,0.7938813739818642
b3,Bisecting K-Means (largest split),19.550971,42698629547733.586,0.8295937638187939,4.138185422859476,0.9267265541525731,0.831792159162714
b3,Bisecting K-Means (worst split),22.194939,42021114728748.555,0.7199779436721307,4.002390303552784,0.9097613580402961,0.7321400809850919
