Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
dim032,K-Means,0.106466,7390673.14122268,0.8730289933602838,2.599301927099795,0.9634998808214847,0.8868998310736157
dim032,Bisecting K-Means (largest split),0.210992,232535.109375,1.0,2.7725887222397816,1.0,1.0
dim032,Bisecting K-Means (worst split),0.250120,232535.109375,1.0,2.7725887222397816,1.0,1.0
dim064,K-Means,0.129999,17351695.66508709,0.8760063674115208,2.5993019270997952,0.9652818991882863,0.8899265855916206
dim064,Bisecting K-Means (largest split),0.282396,216993.53125,1.0,2.7725887222397816,1.0,1.0
dim064,Bisecting K-Means (worst split),0.317983,216993.53125,1.0,2.7725887222397816,1.0,1.0
dim128,K-Means,0.209009,39667552.28161302,0.8548151854760945,2.599301927099795,0.9558682990735929,0.8684928285135425
dim128,Bisecting K-Means (largest split),0.370998,275237.921875,1.0,2.7725887222397816,1.0,1.0
dim128,Bisecting K-Means (worst split),0.405631,275237.921875,1.0,2.7725887222397816,1.0,1.0
dim256,K-Means,0.345028,82498298.47569442,0.8769738719148784,2.5993019270997952,0.9659329133391656,0.8909112390462005
dim256,Bisecting K-Means (largest split),0.587979,241189.671875,1.0,2.7725887222397816,1.0,1.0
dim256,Bisecting K-Means (worst split),0.707487,241189.671875,1.0,2.7725887222397816,1.0,1.0
dim512,K-Means,0.637995,259389664.85078973,0.8154721926916835,2.5126585295298014,0.943638410486118,0.8382637897000756
dim512,Bisecting K-Means (largest split),1.049002,296896.703125,1.0,2.7725887222397816,1.0,1.0
dim512,Bisecting K-Means (worst split),1.248424,296896.703125,1.0,2.7725887222397816,1.0,1.0
dim1024,K-Means,1.218960,559727570.5471647,0.8208599568957979,2.512658529529802,0.9459521438946316,0.8438535511988028
dim1024,Bisecting K-Means (largest split),1.939683,275493.609375,1.0,2.7725887222397816,1.0,1.0
dim1024,Bisecting K-Means (worst split),2.455410,275493.609375,1.0,2.7725887222397816,1.0,1.0
