Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
g2-4-40,K-Means,0.078005,13119018.61,1,0.693145273,1,1
g2-4-40,Bisecting K-Means (largest split),0.081997,13119018.61,1,0.693145273,1,1
g2-4-40,Bisecting K-Means (worst split),0.086996,13119018.61,1,0.693145273,1,1
g2-4-50,K-Means,0.085,20009216.04,1,0.693139551,1,1
g2-4-50,Bisecting K-Means (largest split),0.094,20009216.04,1,0.693139551,1,1
g2-4-50,Bisecting K-Means (worst split),0.094999,20009216.04,1,0.693139551,1,1
g2-4-60,K-Means,0.082001,28534736.21,1,0.693130014,1,1
g2-4-60,Bisecting K-Means (largest split),0.107002,28534736.21,1,0.693130014,1,1
g2-4-60,Bisecting K-Means (worst split),0.096003,28534736.21,1,0.693130014,1,1
g2-4-70,K-Means,0.101001,37971745.11,1,0.692799526,1,1
g2-4-70,Bisecting K-Means (largest split),0.098999,37971714.88,1,0.692799526,1,1
g2-4-70,Bisecting K-Means (worst split),0.117996,37971714.88,1,0.692799526,1,1
g2-4-80,K-Means,0.112997,49233486.65,1,0.693142889,1,1
g2-4-80,Bisecting K-Means (largest split),0.126998,49233486.65,1,0.693142889,1,1
g2-4-80,Bisecting K-Means (worst split),0.122999,49233486.65,1,0.693142889,1,1
g2-4-90,K-Means,0.099003,61315619.69,0.996095657,0.686077551,0.989802042,0.998046879
g2-4-90,Bisecting K-Means (largest split),0.116996,61315584.68,0.994146348,0.682206431,0.984216174,0.997071746
g2-4-90,Bisecting K-Means (worst split),0.111003,61315619.69,0.996095657,0.686077551,0.989802042,0.998046879
g2-4-100,K-Means,0.101998,74333006.91,1,0.693146704,1,1
g2-4-100,Bisecting K-Means (largest split),0.108005,74333006.91,1,0.693146704,1,1
g2-4-100,Bisecting K-Means (worst split),0.129999,74333006.91,1,0.693146704,1,1
g2-8-10,K-Means,0.069,1634146.454,1,0.693147181,1,1
