Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
b1,K-Means,72.9,9.75679E+13,0.950086618,4.509705294,0.979957093,0.950603726
b1,Bisecting K-Means (largest split),16.2,1.00002E+14,0.925082938,4.462484861,0.969946225,0.925865159
b1,Bisecting K-Means (worst split),18.0,9.76104E+13,0.948274374,4.50432585,0.978765858,0.948807599
b2,K-Means,24.7,4.98267E+11,0.986282266,4.587070144,0.996774103,0.986440415
b2,Bisecting K-Means (largest split),8.6,4.56725E+11,1,4.605169686,1,1
b2,Bisecting K-Means (worst split),9.1,4.56725E+11,1,4.605169686,1,1
b3,K-Means,84.4,3.7894E+13,0.825030057,4.136965146,0.928467453,0.827723935
b3,Bisecting K-Means (largest split),22.1,4.21778E+13,0.842004292,4.155103793,0.930831429,0.844038065
b3,Bisecting K-Means (worst split),21.1,4.2021E+13,0.719867662,4.002375688,0.909756763,0.732029882
